"1","LVMH","MC.PA","311430197723","623.847","France"
"2","Hermès","RMS.PA","225440644816","2138.84","France"
"6","Dior","CDI.PA","105776594402","585.242","France"
"12","Kering","KER.PA","28609734894","233.355","France"
"98","SMCP S.A.","SMCP.PA","215284926","2.82989","France"
